"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"486
Honors: Psych of Perception","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"509
Abnormal Psychology","001","","336","2.614","17.9","6.0","25.3","9.5","30.7","6.5","3.6","0.6",".",".",".",".",".",".",".","."
"511
Behavior Pathology:Neuroses","001","","159","3.449","45.9","23.9","20.8","0.6","3.8","1.9","1.9",".",".",".",".",".","0.6",".","0.6","."
"514
Neurodevelopmental Disorders","001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"517","001","","24","3.750","79.2","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"517","002","","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","49","3.816","79.6","16.3","2.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"522
Psychology of Women","001","","32","3.177","21.9","21.9","34.4","12.5","3.1","3.1",".","3.1",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","25","3.600","52.0","24.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"530","002","","52","3.760","69.2","19.2","7.7","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"530","003","","129","3.004","23.3","20.2","26.4","13.2","9.3","3.9","3.1","0.8",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","","181","3.269","36.5","19.9","21.0","9.9","7.2","2.8","2.2","0.6",".",".",".",".",".",".",".","."
"560
Child Psychology","001","","195","3.173","27.7","21.0","27.7","12.3","7.2","3.1","0.5",".",".",".",".",".","0.5",".",".","."
"585
Honors Seminar-Social Psych","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Stat Anal-Psych Experiments","001","","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"618","004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","007","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","","77","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"653
Organization and Job Design","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Undergraduate Thesis","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
