"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"234
Prin&Prac-Nuclr Reactr Oper","234","","15","3.233","26.7","13.3","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"271
Engr Problem Solving I","001","","30","3.100","23.3","16.7","36.7","10.0","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","33","2.953","12.1","36.4","21.2","15.2","3.0","3.0","6.1","3.0",".",".",".",".",".",".",".","."
"406
Nuclear Reactor Analysis","001","","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","11","2.909","9.1","27.3","45.5","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","17","3.206","17.6","29.4","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","7","3.143","14.3","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Radiation Damage in Metals","001","","25","3.180","16.0","28.0","44.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","33","3.409","36.4","24.2","24.2","15.2",".",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","21","3.214","19.0","33.3","28.6","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"726
Plasma Magnetohydrodynamics","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","28","",".",".",".",".",".",".",".","82.1",".",".",".","17.9",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
