"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"275
001
Volleyball II","24","3.435","54.2","25.0","8.3",".",".",".","8.3","4.2",".",".",".","",".","",".",".",".","."
"277
001
Kendo:Intgratn-Mrtl&Lib Art","27","3.759","63.0","25.9","11.1",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"295
001
Bicycling","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".","",".","",".","10.0",".","."
"300
001","20","3.265","15.0","45.0","20.0",".",".",".","5.0","15.0",".",".",".","",".","",".",".",".","."
"002
300","14","3.318","35.7","28.6",".","7.1",".",".","7.1","21.4",".",".",".","",".","",".",".",".","."
"Course Total
Workshop-Physical Activity","34","3.286","23.5","38.2","11.8","2.9",".",".","5.9","17.6",".",".","",".","",".",".",".",".","."
"001
301
Swim Endur&Stroke Proficncy","22","3.868","68.2","13.6","4.5",".",".",".",".","13.6",".",".",".","",".","",".",".",".","."
"310
001
Water Safety Instructor","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","17","3.682","23.5","41.2",".",".",".",".",".","35.3",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1733","3.315","43.6","19.6","9.2","3.8","5.4","1.8","1.4","13.4","0.2",".","",".","",".","0.1","0.6","0.7","0.3"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","209","2.757","30.1","15.8","14.4","10.5","17.2","6.2","3.3","0.5",".",".","",".","",".",".","1.4",".","0.5"
"Sophomore","328","3.159","41.5","24.4","10.1","8.5","8.8","3.4","0.6","1.8","0.3",".","",".","",".",".",".",".","0.6"
"Junior","378","3.524","54.8","22.8","7.1","1.9","4.0","0.8","1.6","6.1",".",".","",".","",".",".","1.1",".","."
"Senior","645","3.596","49.0","18.4","8.4","0.9","1.7","0.6","1.1","19.4","0.2",".","",".","",".","0.2","0.2",".","."
"Undergraduates","1560","3.313","46.3","20.4","9.2","4.0","5.8","2.0","1.4","9.9","0.1",".","",".","",".","0.1","0.5",".","0.2"
"Special","99","3.052","10.1","5.1","9.1",".","1.0",".","2.0","55.6",".",".","",".","",".","1.0","2.0","12.1","2.0"
"Graduate","52","3.450","30.8","23.1","13.5","3.8","1.9",".","1.9","23.1","1.9",".","",".","",".",".",".",".","."
"Prof Yr 1","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","20","3.800","30.0","20.0",".",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Professionals","22","3.792","31.8","22.7",".",".",".",".",".","45.5",".",".","",".","",".",".",".",".","."
"Dept. Total","1733","3.315","43.6","19.6","9.2","3.8","5.4","1.8","1.4","13.4","0.2",".","",".","",".","0.1","0.6","0.7","0.3"
