"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"43","003","","89","3.921","93.3",".","5.6",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","","261","3.960","95.0","2.7","1.9",".","0.4",".",".",".",".",".",".",".",".",".",".","."
"461
Collegium Musicum","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"467
Language Diction-Singing","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"497","007","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.875","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"50
Concert Choir","001","","48","3.980","97.9",".","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"52
Women's Chorus","001","","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"524
Orchestration","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"53
Choral Union","001","","73","3.932","97.3",".",".",".","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"530
Jazz Improvisation","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"539
Folklore-Festivls&Celebratn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Choral Lit& Perf Prac-Today","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"544
Advanced String Pedagogy","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"55
Masters' Singers","001","","36","4.000","97.2",".",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"551
Class Piano Pedagogy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"553","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"553","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Conducting","Course Total","","5","***","","","","","","","","","","","","","","","",""
"556
University Opera","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"557
Opera Workshop","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"558
Madrigal Singers","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"56
Chorale","001","","77","3.981","97.4","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","2","***","","","","","","","","","","","","","","","",""
"565","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"565","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"565","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ensemble-Woodwind","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"567","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 266 of 410",""
