"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","101
001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
101","","19","2.316","15.8","10.5","10.5","21.1","15.8","15.8","10.5",".",".",".",".",".",".",".",".","."
"","003
101","","19","2.711","10.5","31.6","10.5","15.8","15.8","15.8",".",".",".",".",".",".",".",".",".","."
"","004
101","","23","2.739","17.4","13.0","30.4","13.0","13.0","8.7","4.3",".",".",".",".",".",".",".",".","."
"","005
101","","18","3.028","33.3","5.6","33.3","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","87","2.787","23.0","14.9","21.8","13.8","11.5","11.5","3.4",".",".",".",".",".",".",".",".","."
"","201
001","","18","2.389","16.7","5.6","16.7","5.6","38.9","11.1","5.6",".",".",".",".",".",".",".",".","."
"","002
201","","20","2.650","20.0","10.0","30.0",".","25.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","38","2.526","18.4","7.9","23.7","2.6","31.6","10.5","5.3",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","301
001","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","","9","3.389","55.6",".","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","Course Total","","30","3.750","73.3","13.3","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","13","3.409","53.8",".","15.4","7.7",".","7.7",".","7.7",".",".",".",".",".",".",".","7.7"
"Portuguese Civilization","361
001","","11","2.789","27.3","36.4","9.1",".",".","9.1","18.2",".",".",".",".",".",".",".",".","."
"Survey-Portug Lit pre 1825","411
001","","6","3.658","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640
001","","8","3.212","62.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Directed Study","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis","990
032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PORTUG
782","Dept. Total","","209","2.997","35.4","16.3","16.3","7.7","11.0","7.7","3.8","1.4",".",".",".",".",".",".",".","0.5"
