"COUNSELING PSYCHOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","","",""
"Independent Reading","699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories of Counseling","800","001","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Assess Tech for Counselors","801","001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805","001","","19","3.789","84.2",".","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","807","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807","002","","15","3.965","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","","Course Total","","21","3.975","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Counseling","860","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psychology Practicum","","Course Total","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Couns Psych Practicum","901","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Counseling Psychology","925","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych","950","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Training & Supervision","953","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Voc Psych & Career Dev","956","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"Research or Thesis","","Course Total","","31","",".",".",".",".",".",".",".","83.9",".",".",".","16.1",".",".",".","."
"","999","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","5","***","","","","","","","","","","","","","","","",""
