"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"153
001
Ways of Knowing in Sciences","34","3.118","23.5","26.5","29.4","8.8","5.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"198
003","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"004
198","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"005
198","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"006
198","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"007
198","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"009
198","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"010
198","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"011
198","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"012
198","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"013
198","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"014
198","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"019
198","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"020
198","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"021
198","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"027
198","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"038
198","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"078
198","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"079
198","19","",".",".",".",".",".",".",".",".",".","94.7","5.3",".",".",".",".","."
"080
198","4","***","","","","","","","","","",".",".",".",".",".",".","."
"081
198","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"082
198","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"083
198","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"085
198","19","",".",".",".",".",".",".",".",".",".","89.5","10.5",".",".",".",".","."
"086
198","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"088
198","1","***","","","","","","","","","",".",".",".",".",".",".","."
"090
198","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","304","",".",".",".",".",".",".",".",".",".","98.7","1.3",".",".",".",".","."
"199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"061
199","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"062
199","16","3.824","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"063
199","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"064
199","15","3.700","53.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Directed Study","59","3.754","71.2","20.3","5.1","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","246","3.184","19.5","32.1","29.3","11.0","4.5","1.2","1.6",".",".",".",".",".",".","0.4",".","0.4"
"202
001
W Culture:Sci,Tech,Phil II","80","3.138","8.8","37.5","35.0","15.0","2.5",".","1.3",".",".",".",".",".",".",".",".","."
"203
001
West Culture:Lit&The Arts I","228","3.123","17.5","26.3","35.5","10.5","7.9","1.3","0.9",".",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","228","3.077","7.5","36.0","36.4","12.7","3.5","2.6","0.9",".",".",".",".",".",".",".","0.4","."
"209
001
Intro to Global Cultures","314","3.359","32.8","32.2","21.0","7.3","2.5","0.3","2.2","1.0",".",".",".",".",".","0.3",".","0.3"
"001
252
Contemporary Life Sciences","120","2.966","18.3","6.7","45.8","8.3","19.2","0.8",".","0.8",".",".",".",".",".",".",".","."
"275
001","21","3.525","57.1","23.8","4.8",".","4.8",".","4.8","4.8",".",".",".",".",".",".",".","."
"002
275","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"004
275","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Special Topics in ILS","50","3.776","78.0","12.0","4.0",".","2.0",".","2.0","2.0",".",".",".",".",".",".",".","."
