"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"637
Functional Neuroanatomy","001","","66","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Topics in Anatomy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","8","3.950","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","3.986","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Histology and Organology","001","","152","3.737","66.4","17.8","13.2","2.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"711
Gross Human Anatomy","001","","135","3.711","65.2","14.1","18.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"725
Muscle Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
