"HEC","","","","","","","","","","","","","","","","","","","","",""
"","FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","","",""
"Intro Com: Inquiry&Expositn","100","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Scientific Communication","212","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Radio","360","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","","Dept. Total","","16","3.688","62.5","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
