"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","",""
"Heredity","160
001","88","2.909","23.9","4.5","39.8","4.5","22.7","3.4","1.1",".",".",".",".",".",".",".",".","."
"Honors Independent Study","289
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","015
299","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","017
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","019
299","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","032
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","044
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","070
299","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","071
299","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","076
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","077
299","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","086
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","092
299","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","093
299","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","095
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
299","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","26","3.961","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
375","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
375","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
375","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
375","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
375","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
375","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
375","16","3.750","93.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","010
375","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
375","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
375","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
375","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
375","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
375","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
375","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","334","3.982","98.8","0.6","0.3",".",".",".","0.3",".",".",".",".",".",".",".",".","."
"General Genetics","001
466","152","2.657","12.5","5.3","38.2","9.9","23.0","8.6","1.3","1.3",".",".",".",".",".",".",".","."
"","545
001","14","3.250","28.6","14.3","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","002
545","11","2.909","27.3","9.1","36.4","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","25","3.100","28.0","12.0","40.0","8.0","8.0",".","4.0",".",".",".",".",".",".",".",".","."
"Human Genetics","001
565","47","2.723","17.0","19.1","14.9","19.1","14.9","14.9",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","20","3.350","25.0","20.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
001","10","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","020
677","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 25 of 410"
