"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","198","3.196","25.3","16.2","37.9","14.6","3.5","1.5",".","1.0",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","54","3.380","35.2","20.4","29.6","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
365","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","31","3.931","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410
001","48","3.479","35.4","37.5","14.6","6.3","4.2",".",".","2.1",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","51","3.530","29.4","47.1","19.6","2.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","68","3.368","29.4","23.5","42.6",".","4.4",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","47","3.766","72.3","10.6","14.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","26","3.346","23.1","30.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","001
712","26","3.673","50.0","34.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","26","3.596","34.6","50.0","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
151","2","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","616","3.438","38.6","24.4","26.5","7.1","1.9","0.5",".","1.0",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"Junior","","151","3.272","26.5","22.5","33.8","11.9","3.3","0.7",".","1.3",".",".",".",".",".",".",".","."
"Senior","","339","3.424","39.8","22.4","27.7","7.1","2.1","0.6",".","0.3",".",".",".",".",".",".",".","."
"Undergraduates","","490","3.376","35.7","22.4","29.6","8.6","2.4","0.6",".","0.6",".",".",".",".",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Graduate","","123","3.666","49.6","32.5","14.6","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","616","3.438","38.6","24.4","26.5","7.1","1.9","0.5",".","1.0",".",".",".",".",".",".",".","."
