"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"100
Intro to Cultures of Asia","001","","85","3.404","41.2","28.2","16.5","3.5","4.7","1.2","2.4",".",".",".",".",".","1.2",".",".","1.2"
"205
Islam Wrld:MidEast,500-1500","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"244
SE Asia:Vietnam to Philipns","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"252
Civs of India-Modern Period","001","","12","3.500","25.0","33.3","25.0",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"273
Religion-Hist&Culture: East","001","","20","3.300","30.0","20.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"300
Topics in LCA","001","","94","3.500","44.7","28.7","17.0","5.3","3.2",".","1.1",".",".",".",".",".",".",".",".","."
"370
Islam: Religion and Culture","001","","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"373
Urdu Prose Fict-India&Pakistan","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"379
Cities of Asia","001","","17","3.071","11.8","23.5","29.4","11.8",".","5.9",".","17.6",".",".",".",".",".",".",".","."
"403
Southeast Asian Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"413
Turkish Literature","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"421
Survey of Tibetan Buddhism","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"457
Hist Southeast Asia to 1800","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"462
Anthropology of South Asia","001","","12","3.458","41.7","41.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"466
Buddhist Thought","001","","8","3.083",".","12.5","62.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"471
Topics in Contemp Buddhism","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Writing Travels","001","","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"626
Gods & Goddesses of South Asia","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Proseminar-Central Asian Hist","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"663
S Asia and the Global System","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","2.806","41.7","16.7","16.7",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"815
Smr:Interdis Approachs to Asia","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
