"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"Workshop in Dance Activity","1","001","","26","3.960","88.5","7.7",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Modern Dance I","11","001","","18","3.294","16.7","44.4","22.2",".","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111","001","","27","3.673","55.6","33.3","3.7",".",".","3.7",".","3.7",".",".",".",".",".",".",".","."
"Modern Dance II","12","001","","18","3.912","83.3","5.6","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Ballet Technique I","125","001","","26","3.340","15.4","42.3","30.8","7.7",".",".",".","3.8",".",".",".",".",".",".",".","."
"Modern Dance III","13","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhythmic Training for Dancers","144","001","","25","3.560","60.0","12.0","12.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151","001","","16","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167","001","","18","3.667","61.1","22.2","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Production Laboratory","171","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","177","001","","30","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","177","002","","27","4.000","85.2",".",".",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"African Dance","","Course Total","","57","4.000","91.2",".",".",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"Writing Dance Performance","200","001","","15","3.893","80.0","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Ballet I","21","001","","32","3.804","62.5","18.8","3.1","3.1",".",".",".","12.5",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211","001","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212","001","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","225","001","","13","3.385","15.4","46.2","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225","002","","19","3.353","31.6","15.8","31.6","5.3","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Ballet Technique II","","Course Total","","32","3.367","25.0","28.1","34.4","3.1","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"Ballet III","23","001","","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231","001","","12","3.591","75.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","8.3"
"Music Fundamentals-Dancers","241","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","277","001","","15","3.571","40.0","26.7","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31","001","","23","3.478","43.5","13.0","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique V","311","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance II","32","001","","21","3.667","66.7","14.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Composition II","355","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41","001","","38","3.844","63.2","15.8","5.3",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","41","002","","43","3.720","67.4","16.3","9.3",".",".",".","2.3","4.7",".",".",".",".",".",".",".","."
"","41","003","","45","3.829","80.0","2.2","2.2","2.2","4.4",".",".","8.9",".",".",".",".",".",".",".","."
"","41","004","","38","3.958","89.5","2.6","2.6",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Ballroom Dancing","","Course Total","","164","3.833","75.0","9.1","4.9","0.6","1.2",".","0.6","8.5",".",".",".",".",".",".",".","."
"Ballroom Dance II","42","001","","30","3.750","66.7","10.0","3.3",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","","Page 97 of 410"
