"BUS","","","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","2163","3.250","32.8","20.2","27.8","6.0","10.8","1.2","0.6","0.4","",".",".","",".","",".","0.1","0.0",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.500",".",".","50.0",".","50.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","410","2.965","20.2","9.8","39.3","7.1","22.0","1.2","0.2",".","",".",".","",".","",".",".","0.2",".","."
"Junior","","656","3.214","31.6","20.0","27.3","6.4","11.7","1.5","0.8","0.3","",".",".","",".","",".","0.3",".",".","0.2"
"Senior","","668","3.201","29.2","20.1","30.1","7.8","9.4","1.6","0.9","0.7","",".",".","",".","",".",".",".",".","0.1"
"Undergraduates","","1736","3.149","27.9","17.6","31.2","7.1","13.3","1.5","0.7","0.4","",".",".","",".","",".","0.1","0.1",".","0.1"
"Special","","37","3.181","24.3","18.9","35.1","10.8","5.4","2.7",".",".","",".",".","",".","",".","2.7",".",".","."
"Graduate","","380","3.713","55.8","31.6","11.8","0.3","0.3",".",".","0.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","5","3.400","20.0","40.0","40.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","2","3.000",".","50.0",".","50.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","3","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","2163","3.250","32.8","20.2","27.8","6.0","10.8","1.2","0.6","0.4","",".",".","",".","",".","0.1","0.0",".","0.1"
