"Intro to International Studies","301
001","180","3.341","30.0","38.3","20.6","3.9","2.8","1.1","2.8","0.6",".","",".",".","",".","",".","",".",".","."
"Comparative Study of Genocide","318
001","18","3.750","72.2","16.7","5.6",".","5.6",".",".",".",".","",".",".","",".","",".","",".",".","."
"Growth&Develpmt Global Econ","374
001","26","3.558","46.2","26.9","19.2","7.7",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Business in Emerging Markets","615
001","12","3.500","41.7","16.7","41.7",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"INTL ST
504","Dept. Total","242","3.393","35.1","34.3","20.2","4.5","2.5","0.8","2.1","0.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.238","16.7","33.3","33.3","16.7",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","77","3.475","33.8","42.9","16.9","3.9","1.3",".","1.3",".","",".",".","",".","",".","",".",".",".","."
"Senior","","154","3.345","35.7","30.5","22.1","4.5","3.2","1.3","2.6",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","237","3.386","34.6","34.6","20.7","4.6","2.5","0.8","2.1",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","3.850","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","242","3.393","35.1","34.3","20.2","4.5","2.5","0.8","2.1","0.4","",".",".","",".","",".","",".",".",".","."
