"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","240
001","35","2.941","22.9","11.4","22.9","22.9","11.4","5.7",".",".",".",".",".",".",".",".","2.9","."
"","002
240","31","3.048","29.0","22.6","19.4","6.5","12.9","9.7",".",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","66","2.992","25.8","16.7","21.2","15.2","12.1","7.6",".",".",".",".",".",".",".",".","1.5","."
"","252
001","35","3.543","45.7","17.1","37.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
252","44","3.375","31.8","27.3","29.5","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"","003
252","37","3.014","29.7","27.0","10.8","8.1","13.5",".","8.1",".",".",".",".",".",".","2.7",".","."
"Intro to Computer Engineering","Course Total","116","3.313","35.3","24.1","25.9","5.2","6.0",".","2.6",".",".",".",".",".",".","0.9",".","."
"","298
001","35","",".",".",".",".",".",".",".",".",".","97.1","2.9",".",".",".",".","."
"","065
298","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","36","",".",".",".",".",".",".",".",".",".","97.2","2.8",".",".",".",".","."
"","302
001","70","2.754","15.7","15.7","31.4","10.0","14.3","5.7","5.7","1.4",".",".",".",".",".",".",".","."
"","002
302","140","2.876","19.3","10.0","39.3","11.4","9.3","4.3","4.3","1.4",".",".",".",".",".",".",".","0.7"
"","003
302","25","3.000","32.0","12.0","20.0","20.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","005
302","21","3.095","14.3","23.8","33.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","006
302","17","3.094","23.5","11.8","47.1","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"","007
302","23","3.217","34.8","4.3","34.8","21.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","296","2.912","20.6","12.2","35.5","13.2","9.1","3.7","4.1","1.4",".",".",".",".",".",".",".","0.3"
"WES-CS Group Meeting","304
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob Solvng Using Computers","310
001","173","3.096","22.0","13.3","38.7","16.2","6.9","1.2","0.6","0.6",".",".",".",".",".","0.6",".","."
"","352
001","18","2.917","16.7","11.1","33.3","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","002
352","14","2.607","28.6","14.3","7.1","21.4","7.1","7.1","14.3",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","32","2.781","21.9","12.5","21.9","25.0","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
002","50","3.276","38.0","18.0","20.0","12.0","6.0","4.0",".",".",".",".",".",".",".",".",".","2.0"
"","367
001","57","2.912","17.5","21.1","28.1","17.5","7.0","5.3","3.5",".",".",".",".",".",".",".",".","."
"","002
367","43","3.012","18.6","25.6","18.6","23.3","11.6",".","2.3",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","100","2.955","18.0","23.0","24.0","20.0","9.0","3.0","3.0",".",".",".",".",".",".",".",".","."
"Learn New Programming Lang","001
368","22","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"","371
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
371","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intro to Numerical Methods","412
001","48","2.823","14.6","22.9","27.1","12.5","14.6","2.1","6.3",".",".",".",".",".",".",".",".","."
"Foundations-Scientifc Computng","416
001","18","2.971","22.2","22.2","16.7","16.7","11.1",".","5.6",".",".",".",".",".",".","5.6",".","."
"Intro-Combinatorics","475
001","9","2.611",".","11.1","44.4","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","10","3.500","60.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","15","2.833","20.0","20.0","26.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","46","3.333","30.4","37.0","17.4","6.5","2.2","2.2","2.2","2.2",".",".",".",".",".",".",".","."
"","537
001","22","2.958","45.5","13.6","9.1",".","13.6","9.1","9.1",".",".",".",".",".",".",".",".","."
"","002
537","43","3.313","20.9","37.2","25.6","11.6","2.3",".",".",".",".",".",".",".",".",".",".","2.3"
"Intro to Operating Systems","Course Total","65","3.191","29.2","29.2","20.0","7.7","6.2","3.1","3.1",".",".",".",".",".",".",".",".","1.5"
"Intro-Artificl Intelligence","540
001","56","2.902","23.2","14.3","25.0","23.2","5.4","3.6","5.4",".",".",".",".",".",".",".",".","."
"Comp Systms Mdlng Fundmntls","547
001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Graphics","559
001","34","3.172","23.5","23.5","26.5","8.8","8.8","2.9",".",".",".",".",".",".",".",".",".","5.9"
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 190 of 410",""
