"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"","267
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
267","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
267","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
267","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
267","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","39","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".",".","2.6",".","."
"","268
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
268","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
269","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
269","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Ensemble-Guitar","001
270","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
101","","15","3.367","26.7","26.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
271","","16","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","103
271","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
271","","15","3.333","13.3","46.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","","61","3.402","26.2","34.4","32.8","6.6",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philomusica","275
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308
001","","25","3.813","68.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Jazz Improvisation","331
001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
003","","6","3.625","16.7","50.0",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","004
346","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","006
346","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Repertoire","Course Total","","21","3.757","61.9","19.0","4.8","4.8",".",".",".",".",".",".",".",".","9.5",".",".","."
"Basic Concepts of Music","351
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
361","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
361","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
361","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
361","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","","32","3.953","96.9",".",".","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","","49","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","","22","3.182","31.8","31.8","22.7","4.5",".",".","9.1",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","","24","3.435","41.7","16.7","25.0","8.3","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","","29","3.276","20.7","41.4","20.7","13.8",".","3.4",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","","325","4.000","99.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.3"
"","43
001","","85","3.994","98.8","1.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
43","","87","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
