"ALS","","","","","","","","","","","","","","","","","","","","","",""
"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","","",""
"MICROBIO
192","Dept. Total","1224","3.086","30.5","12.7","26.2","9.4","9.8","2.8","0.6","7.7","",".",".","",".","0.2","",".","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.438","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","128","2.854","18.8","19.5","24.2","19.5","9.4","5.5","3.1",".","",".",".","",".",".","",".",".",".","."
"Junior","","317","3.001","28.4","11.4","30.9","11.7","13.6","3.5",".","0.3","",".",".","",".",".","",".","0.3",".","."
"Senior","","527","3.129","31.9","14.6","30.0","9.5","10.6","2.7","0.4","0.4","",".",".","",".",".","",".",".",".","."
"Undergraduates","","975","3.048","29.0","14.3","29.5","11.5","11.4","3.3","0.6","0.3","",".",".","",".",".","",".","0.1",".","."
"Special","","32","2.725","18.8","9.4","31.3","6.3","21.9","3.1","3.1","6.3","",".",".","",".",".","",".",".",".","."
"Graduate","","211","3.600","39.8","5.2","10.0",".","0.9","0.5",".","42.2","",".",".","",".","0.9","",".",".","0.5","."
"Prof Yr 1","","4","3.125",".","50.0","25.0","25.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","2","3.250",".","50.0","50.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","6","3.167",".","50.0","33.3","16.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1224","3.086","30.5","12.7","26.2","9.4","9.8","2.8","0.6","7.7","",".",".","",".","0.2","",".","0.1","0.1","."
