"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","50","",".",".",".",".",".",".",".","98.0","",".",".",".","",".","",".",".",".","2.0"
"PHYSIOL
762","Dept. Total","750","3.244","41.7","13.3","24.7","1.7","8.4","2.1","1.2","6.5","",".",".",".","",".","",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","96","2.894","29.2","2.1","42.7","1.0","17.7","2.1","5.2",".","",".",".",".","",".","",".",".",".","."
"Junior","","144","3.027","34.7","6.3","34.0","1.4","16.7","6.3","0.7",".","",".",".",".","",".","",".",".",".","."
"Senior","","168","3.264","51.2","7.1","26.2","2.4","8.9","2.4","1.8",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","408","3.086","40.2","5.6","32.8","1.7","13.7","3.7","2.2",".","",".",".",".","",".","",".",".",".","."
"Special","","3","3.800","66.7","33.3",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","227","3.680","37.9","31.7","7.0","1.8","0.4",".",".","20.7","",".",".",".","",".","",".",".",".","0.4"
"Prof Yr 1","","105","3.519","56.2","3.8","32.4","1.9","3.8","1.0",".",".","",".",".",".","",".","",".","1.0",".","."
"Prof Yr 2","","5","2.571","40.0",".","20.0",".","40.0",".",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"Professionals","","112","3.494","54.5","3.6","31.3","1.8","5.4","0.9",".","1.8","",".",".",".","",".","",".","0.9",".","."
"","Dept. Total","750","3.244","41.7","13.3","24.7","1.7","8.4","2.1","1.2","6.5","",".",".",".","",".","",".","0.1",".","0.1"
