"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","191","3.335","36.1","34.0","14.1","5.8","4.7","3.7","1.6",".",".",".",".",".",".",".",".","."
"Global Language Issues","211","001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","48","3.426","54.2","14.6","12.5","6.3","6.3","2.1","2.1",".",".",".",".",".","2.1",".",".","."
"General Phonetics","306","001","17","3.400","35.3","35.3","11.8",".",".",".","5.9","5.9",".",".",".",".","5.9",".",".","."
"Phonology","310","001","23","3.543","43.5","39.1","8.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Syntax","330","001","23","2.886","26.1","13.0","26.1",".","17.4","13.0",".","4.3",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","481","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","481","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Advanced Semantics","540","001","7","2.700","14.3","14.3","28.6",".",".",".","14.3",".",".",".",".",".","28.6",".",".","."
"Honors Seminar-Sr Thesis","681","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","682","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods&Materials","800","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","978","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","2","***","","","","","","","","","","","","","","","",""
