"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".","100.0",".","."
"Sophomore","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","15","3.375","20.0","40.0","33.3","6.7",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","53","3.500","37.7","28.3","17.0","9.4","1.9","",".","",".","5.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","71","3.489","35.2","29.6","19.7","8.5","1.4","",".","",".","4.2","",".",".","",".","",".","",".","1.4",".","."
"Special","6","3.536","66.7",".","16.7","16.7",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","101","3.665","17.8","8.9","7.9",".",".","",".","",".","65.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","1","2.000",".",".",".",".","100.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","5","3.429","40.0",".",".",".","20.0","",".","",".","40.0","",".",".","",".","",".","",".",".",".","."
