"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","131
003","20","2.900","15.0","20.0","25.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","004
131","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","73","3.322","39.7","16.4","24.7","6.8","12.3",".",".",".",".",".",".",".",".",".",".","."
"","132
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
132","27","3.519","55.6","11.1","18.5","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"","004
132","24","3.104","8.3","45.8","25.0","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","61","3.426","42.6","24.6","18.0","8.2","4.9","1.6",".",".",".",".",".",".",".",".",".","."
"","141
001","90","3.017","27.8","17.8","17.8","16.7","14.4","4.4","1.1",".",".",".",".",".",".",".",".","."
"","002
141","47","3.234","23.4","38.3","21.3","8.5","2.1","6.4",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","137","3.091","26.3","24.8","19.0","13.9","10.2","5.1","0.7",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig I","171
001","286","2.316","12.6","5.2","24.1","4.2","34.3","11.5","8.0",".",".",".",".",".",".",".",".","."
"","210
001","237","2.911","19.4","19.4","19.0","20.3","18.1","0.4","3.0","0.4",".",".",".",".",".",".",".","."
"","002
210","262","2.561","13.7","9.2","24.8","11.5","29.4","7.3","4.2",".",".",".",".",".",".",".",".","."
"","003
210","109","2.381","9.2","10.1","27.5","9.2","22.9","14.7","6.4",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","608","2.665","15.1","13.3","23.0","14.5","23.8","5.9","4.1","0.2",".",".",".",".",".",".",".","."
"","211
001","245","2.614","21.2","12.2","18.4","11.8","19.6","9.8","6.9",".",".",".",".",".",".",".",".","."
"","002
211","299","2.823","35.1","8.4","16.1","15.7","10.0","5.0","9.7",".",".",".",".",".",".",".",".","."
"","003
211","45","2.444","13.3","8.9","24.4","4.4","35.6","4.4","8.9",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","589","2.707","27.7","10.0","17.7","13.2","16.0","7.0","8.5",".",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","213
001","107","3.262","54.2","12.1","7.5","10.3","3.7","11.2","0.9",".",".",".",".",".",".",".",".","."
"","221
001","277","2.607","20.6","7.6","23.1","4.7","30.0","9.0","4.3",".",".",".",".",".",".","0.4","0.4","."
"","002
221","283","3.030","26.5","17.3","27.6","9.9","11.3","6.4","1.1",".",".",".",".",".",".",".",".","."
"","003
221","212","2.464","12.3","8.5","26.9","10.4","24.5","10.8","6.1",".",".",".",".",".",".",".",".","0.5"
"","004
221","243","2.531","16.9","4.9","28.4","5.8","29.2","10.3","4.5",".",".",".",".",".",".",".",".","."
"","005
221","143","2.983","36.4","3.5","37.8","1.4","9.1","5.6","6.3",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","1158","2.715","21.7","9.1","27.8","6.8","21.7","8.5","4.1",".",".",".",".",".",".","0.1","0.1","0.1"
"","001
222","223","2.748","18.8","14.3","23.3","12.1","19.3","6.7","4.0","0.9",".",".",".",".",".",".",".","0.4"
"","002
222","244","2.594","9.8","18.4","18.4","24.2","14.8","10.2","4.1",".",".",".",".",".",".",".",".","."
"","003
222","243","2.465","18.5","6.2","21.0","9.5","26.7","8.6","8.6","0.4",".",".",".",".",".","0.4",".","."
"Calculus&Analytic Geometry","Course Total","710","2.598","15.6","13.0","20.8","15.4","20.3","8.6","5.6","0.4",".",".",".",".",".","0.1",".","0.1"
