"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"299","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"301
General Soil Science","001","","65","3.123","35.4","18.5","20.0","9.2","9.2","4.6","3.1",".",".",".",".",".",".",".",".","."
"321
Soils and Environmental Chem","001","","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","8","3.125","62.5",".","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"325
Pedology","001","","12","3.125","41.7","16.7","8.3","25.0",".",".","8.3",".",".",".",".",".",".",".",".","."
"332
Nutrient Managmnt:Turfgrass","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"499
Soil Management","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Soil Geomorphology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","19","2.591","5.3",".","31.6","5.3","10.5",".","5.3","15.8",".",".",".",".",".",".","26.3","."
"622
Soil Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.893","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
Graduate Seminar","001","","17","3.700","17.6","5.9","5.9",".",".",".",".","70.6",".",".",".",".",".",".",".","."
"799
Pract-Soil Science Teaching","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
