"","E ASIAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","109","3.623","56.9","22.9","9.2","4.6","2.8",".","0.9","0.9",".",".",".",".",".",".","1.8","."
"First Semester Japanese","103","001","138","3.283","34.8","29.7","12.3","8.7","10.1","1.4","1.4","0.7",".",".",".",".","0.7",".",".","."
"Elementary Korean","105","001","25","3.729","56.0","28.0","12.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","122","001","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","122","002","15","3.333","46.7","20.0","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","27","3.407","44.4","22.2","22.2","7.4",".",".","3.7",".",".",".",".",".",".",".",".","."
"","124","001","13","3.500","53.8","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","124","002","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","29","3.621","48.3","37.9","6.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","70","3.824","67.1","25.7","4.3",".",".",".",".","1.4",".",".",".",".",".",".",".","1.4"
"Third Semester Japanese","203","001","62","2.983","17.7","24.2","21.0","11.3","19.4","3.2",".","3.2",".",".",".",".",".",".",".","."
"Intro-Japanese Culture&Civ","253","001","54","3.176","13.0","40.7","22.2","16.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","23","3.348","26.1","26.1","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","12","3.167","25.0","33.3","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","24","3.313","33.3","33.3","20.8","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","38","3.526","60.5","13.2","15.8","2.6","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","41","3.388","26.8","29.3","34.1","7.3",".",".",".","2.4",".",".",".",".",".",".",".","."
"First Semester Chinese","311","001","8","3.925","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"First Semester Japanese","319","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","28","3.429","28.6","46.4","14.3","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"First Yr Classical Japanese","323","001","16","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","325","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Japanese","327","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","330","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341","001","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","18","3.782","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Korean","347","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","11","3.274",".","63.6",".","18.2",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Survey-Chinese Literature","351","001","15","3.633","66.7","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","353","001","25","3.320","24.0","36.0","32.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","16","3.798","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","18","3.361","50.0","16.7","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 195 of 410",""
