"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Psychopathology in Soc Wrk","Course Total","56","3.929","87.5","10.7","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Systems in Soc Work","715
001","12","3.364","16.7","41.7","25.0","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","741
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
741","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","47","3.989","95.7","2.1",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","23","3.591","30.4","56.5","4.3","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"","800
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
800","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
800","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
800","12","3.914","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
800","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
800","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
800","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
800","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
800","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
800","10","3.896","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
800","14","3.848","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","110","3.903","83.6","14.5","0.9","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
801","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
801","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","015
801","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","5","***","","","","","","","","","","","","","","","",""
"Consultatn&Suprvsn-Soc Work","842
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
861","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
861","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","Course Total","41","3.854","73.2","24.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","867
001","23","3.783","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Hlth, Aging, Disablty","874
001","32","3.758","62.5","25.0","6.3","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","875
001","31","3.790","61.3","35.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","920
001","29","3.661","41.4","44.8","10.3",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Child Welfare","921
001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","12","3.409","33.3","8.3","50.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"PhD Proseminar","950
001","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
990","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
990","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","018
990","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","028
990","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","032
990","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","040
990","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","045
990","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","048
990","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 300 of 410",""
