"","021
990","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","023
990","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","024
990","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","47","",".",".",".",".",".",".",".","97.9","",".",".",".","2.1","",".",".",".","."
"M M & I
620","Dept. Total","711","3.536","47.7","19.7","17.7","3.4","3.7","0.4","0.1","7.2","",".",".",".","0.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","14","3.488","42.9","28.6","14.3","14.3",".",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","137","3.492","51.1","17.5","18.2","5.1","7.3","0.7",".",".","",".",".",".",".","",".",".",".","."
"Senior","","274","3.494","53.6","14.2","21.9","3.3","5.8","0.7","0.4",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","427","3.495","52.7","15.7","20.4","4.2","6.1","0.7","0.2",".","",".",".",".",".","",".",".",".","."
"Special","","14","3.338","28.6","7.1","50.0","7.1",".",".",".","7.1","",".",".",".",".","",".",".",".","."
"Graduate","","101","3.793","45.5","3.0","5.0",".",".",".",".","46.5","",".",".",".",".","",".",".",".","."
"Prof Yr 1","","4","3.375","25.0","25.0","50.0",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","155","3.590","39.4","42.6","14.8","3.2",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","8","3.600","25.0","25.0","12.5",".",".",".",".","25.0","",".",".",".","12.5","",".",".",".","."
"Prof Yr 4","","2","3.000",".",".","50.0",".",".",".",".","50.0","",".",".",".",".","",".",".",".","."
"Professionals","","169","3.585","37.9","40.8","16.0","3.0",".",".",".","1.8","",".",".",".","0.6","",".",".",".","."
"","Dept. Total","711","3.536","47.7","19.7","17.7","3.4","3.7","0.4","0.1","7.2","",".",".",".","0.1","",".",".",".","."
