"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","151
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
151","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Info Resources","Course Total","33","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
001","19","3.395","31.6","31.6","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
155","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
155","20","3.375","45.0","10.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
155","21","3.238","19.0","33.3","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".","."
"","005
155","16","2.938","6.3","18.8","62.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","006
155","16","3.000","12.5","18.8","37.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","007
155","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
155","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
155","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
155","20","3.275","15.0","30.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","011
155","16","3.219","18.8","18.8","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","012
155","19","3.579","52.6","42.1",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","224","3.464","41.5","25.9","22.3","8.0","1.3",".","0.9",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","36","4.000","13.9",".",".",".",".",".",".","86.1",".",".",".",".",".",".",".","."
"","275
001","19","3.289","21.1","57.9","10.5",".",".","10.5",".",".",".",".",".",".",".",".",".","."
"","002
275","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
275","17","3.529","23.5","58.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
275","15","3.600","80.0","6.7",".","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","67","3.522","40.3","46.3","7.5","1.5",".","3.0","1.5",".",".",".",".",".",".",".",".","."
"","001
305","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
305","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
305","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Chinese Conversatn I","Course Total","5","***","","","","","","","","","","","","","","","",""
"","330
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
330","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
330","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","5","***","","","","","","","","","","","","","","","",""
"","374
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
374","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
374","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","8","3.313","50.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","397
001","14","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
397","22","3.386","27.3","31.8","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
397","20","3.325","5.0","55.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
397","21","3.357","33.3","23.8","28.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","005
397","22","3.636","63.6","13.6","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","006
397","18","3.389","33.3","22.2","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","007
397","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
397","22","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
397","21","3.595","42.9","42.9","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","010
397","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 122 of 410",""
