"","083
990","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","088
990","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","091
990","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","32","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"M&ENVTOX
362","Dept. Total","115","3.355","14.8","5.2","11.3","5.2","1.7","",".","",".","60.9","",".",".",".","",".","",".",".","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.000","50.0",".",".",".","50.0","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","6","3.417","50.0",".","33.3","16.7",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","4","3.750","75.0",".","25.0",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","12","3.458","58.3",".","25.0","8.3","8.3","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","9","3.500","11.1","11.1","11.1",".",".","",".","",".","55.6","",".",".",".","",".","",".",".","11.1","."
"Graduate","","93","3.304","8.6","5.4","9.7","5.4","1.1","",".","",".","69.9","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","115","3.355","14.8","5.2","11.3","5.2","1.7","",".","",".","60.9","",".",".",".","",".","",".",".","0.9","."
