"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","100","3.780","68.0","24.0","5.0","2.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"300","002","","95","3.691","47.4","45.3","3.2","3.2",".",".",".",".",".",".",".",".","1.1",".",".","."
"Individls with Disabilities","Course Total","","195","3.737","57.9","34.4","4.1","2.6","0.5",".",".",".",".",".",".",".","0.5",".",".","."
"330
Behav Anal:Person-Disabilty","001","","33","3.879","84.8","9.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"469
Acad Instr:Learn & Behav Disab","001","","32","3.750","62.5","28.1","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"470
Indiv/Learn & Behav Disability","001","","29","3.741","82.8","10.3",".",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"471","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"472
Mth&Curric:Lrn&Bhv Dis, 6-12","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"473
Mgmt: Stdts/Lrn&Bhv Disability","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Diagnosis&Assessmt:Lrn&Bhv Dis","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"475","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","","2","***","","","","","","","","","","","","","","","",""
"476","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"476","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","Course Total","","2","***","","","","","","","","","","","","","","","",""
"477","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"477","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"477","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Rehab-Cnslg Psych: Foundatn","001","","31","3.952","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Bio,Psych,&Voc Aspt-Disabil","001","","65","3.923","87.7","9.2","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Assessmnt Adults-Disablties","001","","15","3.714","40.0","53.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"560
Rehab Psych-Psycho-Soc Asp","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","019","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","31","3.943","96.8",".",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"631
Intro-Augmentative Commun","001","","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"660","018","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"660","022","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
