"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","168","3.060","17.3","21.4","36.9","14.3","6.5","2.4","1.2",".",".",".",".",".",".",".",".","."
"","202
001","254","2.709","15.4","16.9","14.2","26.4","16.1","9.4","1.6",".",".",".",".",".",".",".",".","."
"","002
202","150","2.584","15.3","15.3","12.7","18.7","22.0","11.3","3.3",".",".",".",".",".",".",".",".","1.3"
"","003
202","335","2.818","16.4","20.0","11.9","28.1","16.1","5.4","1.2","0.6",".",".",".",".",".",".",".","0.3"
"","004
202","290","2.583","15.5","12.8","17.6","11.7","29.3","10.0","2.8",".",".",".",".",".",".",".","0.3","."
"","005
202","329","2.744","15.8","22.8","12.8","12.8","25.8","7.0","2.1","0.6",".",".",".",".",".",".",".","0.3"
"Introduction to Psychology","Course Total","1358","2.703","15.8","18.0","13.8","19.5","21.9","8.2","2.1","0.3",".",".",".",".",".",".","0.1","0.3"
"","210
001","46","2.793","17.4","6.5","32.6","8.7","32.6","2.2",".",".",".",".",".",".",".",".",".","."
"","002
210","61","2.623","16.4","13.1","26.2","6.6","23.0","9.8","4.9",".",".",".",".",".",".",".",".","."
"","003
210","60","2.533","10.0","11.7","30.0","1.7","35.0","8.3","3.3",".",".",".",".",".",".",".",".","."
"","004
210","55","2.627","16.4","3.6","25.5","16.4","30.9","5.5","1.8",".",".",".",".",".",".",".",".","."
"","005
210","54","2.741","31.5",".","24.1","3.7","27.8","11.1","1.9",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","276","2.656","18.1","7.2","27.5","7.2","29.7","7.6","2.5",".",".",".",".",".",".",".",".","."
"","001
211","19","3.395","26.3","31.6","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
211","19","3.711","63.2","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Psychology","Course Total","38","3.553","44.7","28.9","21.1","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","225
001","47","2.681","17.0","4.3","23.4","8.5","46.8",".",".",".",".",".",".",".",".",".",".","."
"","002
225","46","2.543","13.0","6.5","28.3","10.9","30.4","6.5","4.3",".",".",".",".",".",".",".",".","."
"","003
225","48","2.656","14.6","8.3","25.0","14.6","31.3","4.2","2.1",".",".",".",".",".",".",".",".","."
"","004
225","29","2.586","3.4","6.9","37.9","20.7","24.1","6.9",".",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","170","2.621","12.9","6.5","27.6","12.9","34.1","4.1","1.8",".",".",".",".",".",".",".",".","."
"Honors Basic Stats for Psych","001
280","21","3.405","33.3","23.8","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","281
001","20","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
281","22","3.545","40.9","36.4","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","Course Total","42","3.595","45.2","33.3","16.7","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","001
311","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Psych-Graduate","325
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","12","2.708","8.3",".","66.7","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","386
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
386","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
386","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","42","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","406
001","89","2.837","29.2","14.6","13.5","18.0","7.9","14.6","2.2",".",".",".",".",".",".",".",".","."
"","411
005","27","3.481","14.8","66.7","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
411","24","3.417","25.0","45.8","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","015
411","22","3.477","36.4","27.3","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","019
411","24","3.771","75.0","8.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","048
411","26","3.308","30.8","30.8","30.8",".","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","050
411","23","3.196","21.7","13.0","60.9",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","080
411","23","3.522","43.5","26.1","26.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","081
411","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","083
411","20","3.450","45.0","30.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","205","3.461","35.1","34.1","25.9","1.5","2.0","1.0","0.5",".",".",".",".",".",".",".",".","."
"Animal Behavior","001
449","146","2.741","13.7","11.0","30.1","13.0","26.0","4.1","1.4","0.7",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 286 of 410",""
