"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","200","2.985","15.0","17.5","34.0","19.5","10.5","2.5",".","",".",".","",".",".","",".","","0.5",".",".","0.5"
"","002
200","118","3.043","10.2","27.1","33.9","18.6","8.5","0.8",".","","0.8",".","",".",".","",".","",".",".",".","."
"International Business","Course Total","318","3.006","13.2","21.1","34.0","19.2","9.7","1.9","",".","0.3","",".",".","",".","",".","0.3",".",".","0.3"
"Prof Comm&Cultr in Franc World","313
001","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Contemporary Topics","365
002","25","3.920","84.0","16.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"","399
000A","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","222
399","97","4.000","100.0",".",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"Reading & Research-Intl Bus","Course Total","99","3.966","98.0","2.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Global Marketing Strategy","001
420","12","3.250",".","50.0","50.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"Business in Emerging Markets","615
001","34","3.441","32.4","23.5","44.1",".",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"INTL BUS
235","Dept. Total","490","3.183","35.1","17.8","26.5","12.4","6.3","1.2","",".","0.2","",".",".","",".","",".","0.2",".",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","79","2.772","6.3","13.9","35.4","26.6","12.7","5.1","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","207","3.195","43.0","16.4","20.8","12.1","5.8","1.0","",".","0.5","",".",".","",".","",".","0.5",".",".","."
"Senior","","161","3.314","39.1","18.6","28.0","8.1","5.6",".","",".",".","",".",".","",".","",".",".",".",".","0.6"
"Undergraduates","","447","3.151","35.1","16.8","26.0","13.2","6.9","1.3","",".","0.2","",".",".","",".","",".","0.2",".",".","0.2"
"Special","","31","3.452","32.3","32.3","29.0","6.5",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","9","3.556","44.4","22.2","33.3",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","3","3.333","33.3",".","66.7",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","490","3.183","35.1","17.8","26.5","12.4","6.3","1.2","",".","0.2","",".",".","",".","",".","0.2",".",".","0.2"
