"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Research or Thesis","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".",".","."
"700
Smr: Rehab Psych Research","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Rsch, Pol & Prac-Spec Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"810
Rehab Cnslg Psych-Technique","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 3","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Rehab Cnsl Psych-Cnsl Supvn","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","5","***","","","","","","","","","","","","","","","",""
"940
Rehab Cnsl Psych-Supv Rsch","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941
Internship: Research","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"980
Adult Cognitive Assessment","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"984
Smr:Princ of Behavior Chnge","001","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","24","",".",".",".",".",".",".",".","95.8",".",".",".","4.2",".",".",".","."
"999","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
