"","036
990","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","042
990","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","061
990","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","20","",".",".",".",".",".",".",".","90.0","",".",".",".","10.0","",".",".",".","."
"AN SCI
604","Dept. Total","447","3.097","36.2","14.1","19.0","10.7","9.2","3.8","1.8","4.3","",".",".",".","0.4","",".",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","76","2.883","10.5","21.1","35.5","9.2","17.1","5.3","1.3",".","",".",".",".",".","",".",".",".","."
"Sophomore","","61","2.880","26.2","8.2","27.9","16.4","11.5","6.6","3.3",".","",".",".",".",".","",".",".",".","."
"Junior","","85","2.969","32.9","14.1","18.8","11.8","10.6","7.1","4.7",".","",".",".",".",".","",".",".",".","."
"Senior","","154","3.319","50.0","15.6","11.7","13.0","7.8","1.9",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","376","3.061","34.3","15.2","20.7","12.5","10.9","4.5","1.9",".","",".",".",".",".","",".",".",".","."
"Special","","6","2.324",".","33.3","33.3","16.7",".",".","16.7",".","",".",".",".",".","",".",".",".","."
"Graduate","","74","3.803","55.4","5.4","8.1",".",".",".",".","25.7","",".",".",".","2.7","",".",".","2.7","."
"","Dept. Total","456","3.097","37.3","13.8","18.9","10.5","9.0","3.7","1.8","4.2","",".",".",".","0.4","",".",".","0.4","."
