"VET","","","","","","","","","","","","","","","","","","","","","","",""
"ANIMAL HEALTH & BIOMEDICAL  Section","#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","","",""
"AHABS
Dept. Total
952","130","3.503","38.5","13.1","4.6","",".","5.4","0.8","",".","33.1","",".",".","",".","4.6","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","22","3.795","72.7","22.7",".","",".","4.5",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","12","3.321","58.3","25.0",".","",".","16.7",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","10","3.109","40.0","30.0","10.0","",".","10.0","10.0","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","25","3.402","52.0","20.0","16.0","",".","12.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","69","3.408","58.0","23.2","7.2","",".","10.1","1.4","",".",".","",".",".","",".",".","",".",".",".","."
"Special","2","3.500","50.0",".","50.0","",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","56","3.942","16.1","1.8",".","",".",".",".","",".","71.4","",".",".","",".","10.7","",".",".",".","."
"Prof Yr 3","3","",".",".",".","",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","3","",".",".",".","",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Dept. Total","130","3.503","38.5","13.1","4.6","",".","5.4","0.8","",".","33.1","",".",".","",".","4.6","",".",".",".","."
