"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
002","42","3.556","35.7","28.6","19.0",".","2.4",".",".","14.3",".","",".",".","",".","",".","",".",".","."
"Intro to Lit of Native America","172
001","157","3.173","23.6","25.5","29.9","14.0","2.5","1.9","1.9","0.6",".","",".",".","",".","",".","",".",".","."
"Indians of North America","314
001","138","3.507","45.7","26.1","16.7","3.6","5.1",".","0.7","2.2",".","",".",".","",".","",".","",".",".","."
"Survey-N Amer Indian Languages","371
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Third Semester Ojibwe","401
001","15","3.500","60.0","6.7","13.3","13.3","6.7",".",".",".",".","",".",".","",".","",".","",".",".","."
"American Indian Folklore","431
001","16","3.767","62.5","25.0",".","6.3",".",".",".","6.3",".","",".",".","",".","",".","",".",".","."
"","450
003","7","3.929","85.7","14.3",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","006
450","11","3.909","81.8","18.2",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","008
450","15","3.107","6.7","33.3","26.7","26.7",".",".",".","6.7",".","",".",".","",".","",".","",".",".","."
"","010
450","8","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","014
450","14","3.214","7.1","71.4",".","14.3",".","7.1",".",".",".","",".",".","",".","",".","",".",".","."
"Issues in Amer Ind Studies","Course Total","55","3.537","45.5","32.7","7.3","10.9",".","1.8",".","1.8","",".",".","",".","",".","",".",".",".","."
"American Indian History","490
001","19","3.596","42.1","36.8","21.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Indians & Spanish Borderlands","516
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
004","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","010
699","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"AMER IND
140","Dept. Total","447","3.411","38.3","26.4","19.7","8.3","2.9","0.9","0.9","2.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.364","45.5","15.2","21.2","15.2",".",".","3.0",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","90","3.169","27.8","24.4","21.1","15.6","5.6","3.3","1.1","1.1","",".",".","",".","",".","",".",".",".","."
"Junior","","170","3.479","38.8","28.2","23.5","6.5","1.2","0.6",".","1.2","",".",".","",".","",".","",".",".",".","."
"Senior","","147","3.472","40.8","29.3","15.0","4.8","4.1",".","1.4","4.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","440","3.404","37.7","26.8","20.0","8.4","3.0","0.9","0.9","2.3","",".",".","",".","",".","",".",".",".","."
"Special","","3","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".","",".","",".",".",".","."
"Graduate","","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","447","3.411","38.3","26.4","19.7","8.3","2.9","0.9","0.9","2.7","",".",".","",".","",".","",".",".",".","."
