"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Independent Reading","Course Total","14","4.000","71.4",".",".",".",".",".",".","21.4",".",".",".","7.1",".",".",".","."
"ENGLISH
350","Dept. Total","5739","3.411","34.2","25.7","18.6","5.5","3.0","0.6","0.9","1.8","0.0","8.3","0.4","0.6","0.1","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1755","3.453","33.3","27.6","18.3","4.6","2.5","0.6","0.5","0.1",".","11.5","0.9",".","0.1",".",".","0.1"
"Sophomore","","1160","3.361","32.7","29.8","20.1","6.4","4.1","0.9","1.0",".",".","4.5","0.3",".","0.1","0.1",".","0.1"
"Junior","","1069","3.331","33.7","26.7","23.6","7.3","3.2","0.7","1.9",".",".","2.8","0.1",".",".","0.1",".","."
"Senior","","1094","3.368","36.7","26.1","22.0","7.2","4.2","0.7","1.1","0.5",".","1.0",".",".","0.1","0.2","0.1","."
"Undergraduates","","5078","3.385","34.0","27.6","20.6","6.1","3.4","0.7","1.0","0.1",".","5.8","0.4",".","0.1","0.1","0.0","0.1"
"Special","","116","3.382","13.8","13.8","11.2","3.4",".",".","0.9","14.7",".","37.1","1.7",".",".","1.7","1.7","."
"Graduate","","545","3.867","40.4","10.5","1.5","0.2",".",".",".","14.3","0.2","26.1","0.2","5.9","0.4",".","0.6","."
"","Dept. Total","5739","3.411","34.2","25.7","18.6","5.5","3.0","0.6","0.9","1.8","0.0","8.3","0.4","0.6","0.1","0.1","0.1","0.1"
