"Foundations of Educ for Work","660
001","9","3.654","77.8",".","11.1",".","","11.1",".",".","",".","",".","",".",".","",".","",".",".",".","."
"","699
004","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","036
699","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","",""
"INTER-HE
498","Dept. Total","107","3.781","77.6","6.5","9.3","",".","3.7","1.9","",".","",".","",".",".","",".","",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","4.000","100.0",".",".","",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","11","3.650","81.8","9.1",".","",".",".","9.1","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","22","3.685","68.2","13.6","9.1","",".","9.1",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","65","3.799","76.9","4.6","12.3","",".","3.1","1.5","",".","",".","",".",".","",".","",".","1.5",".",".","."
"Undergraduates","","100","3.768","76.0","7.0","10.0","",".","4.0","2.0","",".","",".","",".",".","",".","",".","1.0",".",".","."
"Special","","4","4.000","100.0",".",".","",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","3","4.000","100.0",".",".","",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","107","3.781","77.6","6.5","9.3","",".","3.7","1.9","",".","",".","",".",".","",".","",".","0.9",".",".","."
