"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","342
001","19","2.632","15.8","10.5","10.5","31.6","21.1","10.5",".",".",".",".",".",".",".",".",".","."
"","002
342","38","3.184","26.3","26.3","23.7","10.5","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"","003
342","41","3.063","17.1","26.8","29.3","9.8","12.2",".","2.4",".",".",".",".",".",".","2.4",".","."
"Design of Machine Elements","Course Total","98","3.026","20.4","23.5","23.5","14.3","13.3","3.1","1.0",".",".",".",".",".",".","1.0",".","."
"","349
002","11","2.864",".","36.4","9.1","45.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","003
349","16","3.344","25.0","25.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
349","15","3.300",".","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","005
349","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
349","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","48","3.229","12.5","39.6","31.3","14.6","2.1",".",".",".",".",".",".",".",".",".",".","."
"","351
001","8","3.188",".","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
351","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
352","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
352","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","3","***","","","","","","","","","","","","","","","",""
"","361
001","29","2.929","20.7","20.7","17.2","20.7","6.9","10.3",".","3.4",".",".",".",".",".",".",".","."
"","002
361","42","3.321","31.0","38.1","14.3","2.4","11.9","2.4",".",".",".",".",".",".",".",".",".","."
"","003
361","40","2.700","12.5","15.0","22.5","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","111","2.995","21.6","25.2","18.0","13.5","13.5","7.2",".","0.9",".",".",".",".",".",".",".","."
"","001
363","35","2.500","5.7","17.1","14.3","25.7","28.6","2.9","5.7",".",".",".",".",".",".",".",".","."
"","002
363","56","2.946","10.7","32.1","16.1","25.0","12.5","3.6",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","91","2.775","8.8","26.4","15.4","25.3","18.7","3.3","2.2",".",".",".",".",".",".",".",".","."
"","364
001","53","3.179","26.4","22.6","28.3","13.2","5.7","3.8",".",".",".",".",".",".",".",".",".","."
"","002
364","50","3.320","20.0","46.0","18.0","10.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","103","3.248","23.3","34.0","23.3","11.7","5.8","1.9",".",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","78","2.897","14.1","11.5","41.0","14.1","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","62","2.806","14.5","9.7","19.4","38.7","16.1","1.6",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","003
417","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
417","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","11","3.227","36.4","27.3","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","418
001","32","3.688","65.6","25.0","6.3",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"","002
418","20","3.526","35.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"","003
418","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","56","3.645","55.4","26.8","14.3",".",".",".","1.8",".",".",".",".",".",".","1.8",".","."
"Stat Expermntl Design-Engrs","424
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","001
425","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","001
429","28","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","24","2.958","16.7","25.0","25.0","16.7","12.5",".","4.2",".",".",".",".",".",".",".",".","."
"","002
446","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
446","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 131 of 410",""
