"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","165","2.461","6.1","7.3","19.4","44.8","9.1","7.9","5.5",".",".",".",".",".",".",".",".","."
"","002
201","54","2.537","1.9","14.8","24.1","37.0","11.1","7.4","3.7",".",".",".",".",".",".",".",".","."
"Statics","Course Total","219","2.479","5.0","9.1","20.5","42.9","9.6","7.8","5.0",".",".",".",".",".",".",".",".","."
"","202
001","72","2.701","15.3","6.9","25.0","22.2","25.0","4.2","1.4",".",".",".",".",".",".",".",".","."
"","002
202","72","2.611","11.1","9.7","22.2","31.9","13.9","8.3","2.8",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","144","2.656","13.2","8.3","23.6","27.1","19.4","6.3","2.1",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","88","2.903","17.0","15.9","31.8","14.8","15.9","2.3","2.3",".",".",".",".",".",".",".",".","."
"","307
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
307","10","3.350","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","005
307","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
307","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","11","3.227","18.2","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","009
307","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","62","3.452","33.9","29.0","30.6","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","28","3.643","53.6","28.6","14.3",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","37","3.162","27.0","10.8","35.1","21.6","5.4",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","38","3.039","10.5","28.9","34.2","15.8","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","47","2.713","14.9","10.6","10.6","42.6","14.9","6.4",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","36","2.944","22.2","16.7","25.0","11.1","19.4","5.6",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
044","54","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","045
599","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Study","Course Total","70","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to Finite Elements","605
001","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Viscoelastic Solids","630
001","27","3.722","59.3","29.6","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Master's Research","690
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Elasticity","700
001","15","3.214","26.7","26.7","13.3","13.3","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Plates,Shells&Pressr Vessel","706
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
790","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
790","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"","890
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
890","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
890","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","015
890","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
