"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","79","3.373","44.3","21.5","15.2","7.6","10.1",".","1.3",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","37","3.162","27.0","21.6","18.9","21.6","10.8",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","14","3.357","28.6","35.7","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","15","2.900","13.3","13.3","33.3","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","8","3.313","50.0","12.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","37","3.162","27.0","21.6","18.9","21.6","10.8",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","54","3.113","35.2","11.1","24.1","11.1","11.1","3.7","1.9",".",".",".",".",".",".",".",".","1.9"
"Introduction-Human Factors","349","001","","55","3.028","12.7","25.5","41.8","9.1","1.8","5.5","1.8",".",".",".",".",".",".",".",".","1.8"
"Intro-Manufac Sys,Dsgn&Anal","415","001","","48","3.729","62.5","22.9","12.5","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","","23","3.913","91.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","29","3.241","24.1","24.1","34.5","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Capital Investment","513","001","","18","3.618","72.2",".","5.6","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","46","3.728","65.2","23.9","8.7",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","6","2.917","16.7","16.7","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","","20","3.895","75.0","20.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","31","3.583","54.8","22.6","9.7","6.5",".","3.2",".","3.2",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","30","3.783","56.7","43.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","001","","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","41","3.912","85.4","12.2","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","33","3.947","84.8","3.0","3.0",".",".",".",".","6.1",".",".",".","3.0",".",".",".","."
"Grad Cooperative Educ Program","702","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Integer Programming","720","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 126 of 410",""
