"ALS","","","","","","","","","","","","","","","","","","","","","","","",""
"DAIRY SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"DY SCI
292","Dept. Total","233","3.379","47.6","7.3","20.6","4.3","5.6","",".","",".","9.9","",".",".","",".","4.3","",".",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","32","3.168","12.5","18.8","62.5","6.3",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","26","3.640","76.9","3.8","11.5","7.7",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","40","3.274","47.5","10.0","22.5","10.0","10.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","62","3.504","62.9","8.1","17.7","1.6","9.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","160","3.358","51.3","10.0","26.9","5.6","6.3","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","6","3.455","50.0",".","16.7",".","16.7","",".","",".","16.7","",".",".","",".",".","",".",".",".","."
"Graduate","","67","3.480","38.8","1.5","6.0","1.5","3.0","",".","",".","32.8","",".",".","",".","14.9","",".",".","1.5","."
"","Dept. Total","233","3.379","47.6","7.3","20.6","4.3","5.6","",".","",".","9.9","",".",".","",".","4.3","",".",".","0.4","."
