"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","397
011","17","3.765","70.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","013
397","21","3.667","38.1","57.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
397","22","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
397","19","3.605","47.4","26.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","280","3.575","43.2","33.6","19.6","2.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
430","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Japanese for Bus & Industry","Course Total","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Technical Editing","497
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","033
499","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Engr Economics & Management","611
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","630
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","654
001","6","3.906","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
654","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","Course Total","12","3.952","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","23","3.521","26.1","65.2","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","003
690","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
690","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
690","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
690","26","3.788","65.4","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","057
690","27","3.741","70.4","7.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","89","3.760","61.8","27.0","10.1",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
