"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","18","3.250","38.9","11.1","22.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","002
101","19","3.500","42.1","26.3","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","20","3.500","45.0","25.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","007
101","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
101","22","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","009
101","23","3.391","21.7","34.8","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
101","22","3.929","81.8","13.6",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","012
101","23","3.065","30.4","21.7","26.1",".","8.7","13.0",".",".",".",".",".",".",".",".",".","."
"","013
101","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
101","17","3.000","29.4","23.5","23.5","11.8",".",".","11.8",".",".",".",".",".",".",".",".","."
"","017
101","19","3.250","31.6","26.3","21.1","10.5",".",".","5.3",".",".",".",".",".",".",".","5.3","."
"","019
101","18","3.556","50.0","27.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","020
101","21","3.571","38.1","38.1","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","287","3.514","47.7","25.8","17.1","4.5","2.1","1.0","1.0","0.3",".",".",".",".",".",".","0.3","."
"","102
001","18","3.294","22.2","33.3","22.2","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","002
102","22","3.205","27.3","27.3","31.8","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","004
102","19","3.105","15.8","31.6","31.6","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","006
102","17","3.412","23.5","41.2","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","007
102","19","3.105","10.5","26.3","52.6","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","95","3.218","20.0","31.6","33.7","7.4","3.2","2.1","1.1","1.1",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","17","3.844","70.6","17.6","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","201
001","13","3.667","46.2","30.8","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","002
201","16","3.406","43.8","37.5","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","003
201","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","47","3.620","51.1","34.0","8.5","2.1",".",".","2.1","2.1",".",".",".",".",".",".",".","."
"","203
001","21","3.286","42.9","14.3","19.0","4.8","19.0",".",".",".",".",".",".",".",".",".",".","."
"","002
203","20","3.325","35.0","30.0","20.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","004
203","19","3.556","47.4","21.1","15.8","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"","005
203","18","3.528","44.4","22.2","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","006
203","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
203","18","3.618","50.0","16.7","27.8",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","117","3.496","46.2","21.4","21.4","4.3","4.3","0.9",".","1.7",".",".",".",".",".",".",".","."
"","204
001","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
204","13","3.269","46.2","7.7","30.8",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","21","3.357","38.1","23.8","28.6",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","311
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
311","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","Course Total","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","001
321","24","3.518","45.8","20.8","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","17","3.571","29.4","47.1","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
001","18","3.806","77.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","453
001","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".",".",".","14.3","."
"Lineamenti Di Lett Italiana","631
001","15","3.808","60.0","20.0","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
