"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","367
002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","50","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","26","3.904","92.3",".","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
368","","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Reading","Course Total","","50","3.890","88.0","6.0","2.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","26","3.904","92.3",".","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
369","","24","3.854","87.5",".","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","50","3.880","90.0",".","6.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","26","3.885","88.5","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
370","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
370","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","65","3.931","92.3","3.1","3.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
371","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
371","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","70","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
372","","26","3.827","84.6","3.8","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","003
372","","22","3.818","81.8","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","70","3.879","88.6","4.3","4.3",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
373","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gen Ed Pract-Diverse Learners","374
001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","001
375","","25","3.794","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Physical Educ","378
001","","9","3.389","66.7","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","399
095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
001","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
422","","25","3.940","96.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Children's Lit","Course Total","","50","3.940","94.0","2.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425
001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","60","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
440","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum IV","Course Total","","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","001
443","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","","71","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","","52","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 82 of 410"
