"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction Systems","290","001","","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","47","2.811","12.8","14.9","29.8","17.0","12.8","8.5",".","2.1",".",".",".",".",".",".","2.1","."
"Hydroscience","311","001","","39","2.628","12.8","23.1","15.4","15.4","20.5","5.1","7.7",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","","17","3.412","29.4","41.2","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","68","2.925","22.1","7.4","38.2","4.4","22.1","4.4",".","1.5",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","41","2.963","22.0","9.8","41.5","12.2","7.3","4.9","2.4",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","70","3.343","31.4","22.9","32.9","8.6","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","76","2.840","11.8","11.8","40.8","11.8","17.1","5.3",".","1.3",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmentl Engineerng Lab","424","001","","16","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","426","001","","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Wood Structures I","442","001","","28","2.982","17.9","10.7","42.9","21.4","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","22","3.023","31.8","9.1","27.3","4.5","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","47","3.511","46.8","17.0","31.9",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","31","3.403","12.9","54.8","32.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498","001","","21","3.900","76.2","19.0",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","498","002","","55","3.764","67.3","23.6","5.5","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","76","3.800","69.7","22.4","3.9","1.3","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"Water Chemistry","500","001","","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","11","3.266","36.4","36.4","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Retaining Structures","531","001","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","18","3.324","22.2","16.7","55.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","001","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","002","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructability Analysis","","Course Total","","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Highway Bridges","641","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topic-Structural Engr","649","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn&Constructn-Bitum Mixtures","695","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","002","","22","3.659","36.4","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 109 of 410",""
