"","042
920","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","043
920","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","044
920","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","9","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"ANESTHES
148","Dept. Total","","83","3.751","61.4","28.9","6.0","",".","3.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","3.600","50.0",".","50.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","3.600","50.0",".","50.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","36","3.653","50.0","41.7","2.8","",".","5.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","44","3.821","70.5","20.5","6.8","",".","2.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","81","3.756","61.7","29.6","4.9","",".","3.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","83","3.751","61.4","28.9","6.0","",".","3.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
