"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Relaxation Tech & Exercise","Course Total","","66","3.894","57.6","12.1","1.5",".",".",".",".","27.3",".",".",".",".","1.5",".",".","."
"","138
001","","18","3.136","16.7","11.1","16.7","5.6","11.1",".",".","27.8",".",".",".",".",".","11.1",".","."
"","002
138","","14","3.308","35.7","21.4","21.4","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"","003
138","","13","3.357","23.1","7.7","15.4",".","7.7",".",".","38.5","7.7",".",".",".",".",".",".","."
"","004
138","","12","3.773","50.0","41.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","005
138","","16","3.885","62.5","18.8",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Golf I","Course Total","","73","3.509","37.0","19.2","11.0","2.7","4.1","1.4",".","20.5","1.4",".",".",".",".","2.7",".","."
"","140
001","","19","3.556","57.9","21.1","10.5",".",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"","002
140","","20","3.639","60.0","25.0",".",".",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","39","3.597","59.0","23.1","5.1",".",".",".","5.1","7.7",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","17","3.676","52.9","41.2",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","10","3.900","40.0","10.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Badminton I","155
001","","14","3.500","21.4","35.7","21.4",".",".",".",".","14.3",".",".",".",".","7.1",".",".","."
"","157
001","","21","3.524","47.6","38.1","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","002
157","","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
157","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","","56","3.634","48.2","41.1","8.9",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"","162
001","","20","3.571","25.0","30.0","15.0",".",".",".",".","25.0",".",".",".",".",".","5.0",".","."
"","002
162","","15","2.643","6.7","6.7","13.3","13.3",".",".","6.7","53.3",".",".",".",".",".",".",".","."
"","003
162","","17","2.889","11.8","11.8","11.8","11.8",".",".","5.9","47.1",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","52","3.150","15.4","17.3","13.5","7.7",".",".","3.8","40.4",".",".",".",".",".","1.9",".","."
"","163
001","","14","3.833","64.3","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","7.1"
"","002
163","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
163","","18","3.714","44.4","22.2","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","48","3.786","58.3","20.8","8.3",".",".",".",".","10.4",".",".",".",".",".",".",".","2.1"
"Basketball I","170
001","","26","3.635","65.4","19.2","7.7",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Soccer I","173
001","","25","3.740","72.0","12.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","175
001","","32","3.790","62.5","28.1","6.3",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"","002
175","","32","3.871","78.1","12.5","6.3",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","64","3.831","70.3","20.3","6.3",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Softball","179
001","","25","3.891","76.0","12.0","4.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"","201
001","","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","002
201","","17","3.794","76.5","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","32","3.766","84.4","9.4",".",".","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"","211
001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
211","","21","3.974","85.7","4.8",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","36","3.912","80.6","11.1","2.8",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Weight Training II","232
001","","24","3.659","29.2","62.5",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Golf II","238
001","","13","3.727","46.2","30.8","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Power Skating","244
001","","18","3.467","33.3","22.2","22.2",".","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"","262
001","","16","3.708","43.8","18.8","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","002
262","","13","3.550","23.1","38.5","15.4",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","29","3.636","34.5","27.6","13.8",".",".",".",".","24.1",".",".",".",".",".",".",".","."
