"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","56","2.795","10.7","14.3","14.3","44.6","16.1",".",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","229","3.300","20.5","40.2","26.2","7.4","3.9","0.9","0.4","0.4",".",".",".",".",".",".",".","."
"","120","001","43","2.976","20.9","20.9","25.6","16.3","4.7","7.0","2.3",".",".",".",".",".",".",".",".","2.3"
"","120","002","41","2.963","19.5","29.3","19.5","2.4","22.0","7.3",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","84","2.970","20.2","25.0","22.6","9.5","13.1","7.1","1.2",".",".",".",".",".",".",".",".","1.2"
"Atmspherc Envirnmnt&Society","121","001","60","3.246","30.0","10.0","38.3","18.3","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","40","3.750","57.5","27.5","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","41","3.073","24.4","22.0","24.4","7.3","19.5","2.4",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","49","3.245","28.6","26.5","10.2","24.5","6.1",".",".","4.1",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","14","3.536","50.0","28.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","34","3.000","23.5","17.6","29.4","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","001","67","2.799","13.4","11.9","29.9","19.4","20.9","4.5",".",".",".",".",".",".",".",".",".","."
"","339","002","74","2.897","12.2","18.9","29.7","14.9","21.6","1.4",".","1.4",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","141","2.850","12.8","15.6","29.8","17.0","21.3","2.8",".","0.7",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","17","3.328","41.2","23.5","5.9","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","34","3.456","58.8","11.8","11.8","8.8","5.9",".","2.9",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","21","3.625","47.6","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".","4.8",".","."
"Field Ecology Workshop","375","001","17","3.500","29.4","58.8",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","001","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","002","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","006","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Envir: Soc&Human St","","Course Total","29","3.672","55.2","27.6","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Minerals - A Public Problem","410","001","14","2.893","14.3","14.3","42.9","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","27","3.370","33.3","25.9","25.9","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","74","3.445","31.1","33.8","29.7","2.7",".","1.4",".","1.4",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","30","3.617","50.0","23.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506","001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","6","2.750","16.7",".","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","8","3.063","25.0","25.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Air Resources Science & Policy","539","001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","18","3.806","83.3","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","600","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 150 of 410",""
