"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"765
Crystal Chemistry","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Igneous Petrology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"777
Electron Microprobe Anal","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"797
Tectonophysics","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","","26","3.970","84.6","3.8",".",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"929
Seminar-Hydrogeology","001","","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Sedimentology & Marine Geol","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Seminar-Geochemistry","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"971
Seminar-Igneous Petrology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","53","",".",".",".",".",".",".",".","83.0","1.9",".",".","13.2",".",".","1.9","."
"991
Seminar: Geophysics","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
