"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"693","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"694","011","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","37","3.987","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","51","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","040","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"695","067","","6","3.962","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","43","3.995","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","017","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","023","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","047","","7","3.083","42.9","14.3","14.3",".",".",".","14.3",".",".",".",".","14.3",".",".",".","."
"697","058","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","95","3.941","95.8","1.1","1.1",".",".",".","1.1",".",".",".",".","1.1",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosmr-Experimental Psych","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Prosmr in Social Psychology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Proseminar-Clinical Psych","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Prosmr-Developmental Psych","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Proseminar-Biological Psych","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","001","","12","3.537","25.0","33.3","25.0",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"711","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics in Psych","Course Total","","15","3.576","26.7","33.3","20.0",".",".",".",".","6.7",".",".",".",".","13.3",".",".","."
"729
Advanced Social Psychology","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
