"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","990
046","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","051
990","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","057
990","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","067
990","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","074
990","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","103
990","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","110
990","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","116
990","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","152
990","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Reading and Research","Course Total","24","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Smr-Applied Mathematics","991
001","4","***","","","","","","","","","","",".",".",".","",".",".",".","."
"MATH
600","Dept. Total","6928","2.762","24.9","11.4","23.2","9.2","18.4","7.3","4.3","0.6","",".","0.4",".","",".","0.0","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2994","2.751","21.0","10.8","27.5","8.6","20.4","7.4","3.6","0.0","",".","0.5",".","",".",".",".","0.0","0.1"
"Sophomore","","1809","2.639","19.3","11.7","23.0","12.3","19.5","8.3","5.2",".","",".","0.6",".","",".",".","0.1",".","0.1"
"Junior","","1076","2.674","23.2","13.2","21.7","9.0","19.1","7.6","6.0","0.1","",".",".",".","",".",".","0.1",".","."
"Senior","","563","2.735","27.4","13.1","17.6","8.7","17.8","8.2","5.2","0.9","",".","0.2",".","",".","0.4","0.7",".","."
"Undergraduates","","6442","2.709","21.5","11.6","24.4","9.7","19.7","7.8","4.6","0.1","",".","0.4",".","",".","0.0","0.1","0.0","0.0"
"Special","","71","3.226","49.3","14.1","11.3","7.0","7.0","7.0","2.8",".","",".",".",".","",".",".",".","1.4","."
"Graduate","","414","3.815","73.7","8.2","7.7","1.7","0.7","0.2",".","7.5","",".",".",".","",".",".",".","0.2","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"","Dept. Total","6928","2.762","24.9","11.4","23.2","9.2","18.4","7.3","4.3","0.6","",".","0.4",".","",".","0.0","0.1","0.0","0.0"
