"REHAB PSYCH & SPECIAL EDUC Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Independent Reading","5","***","","","","","","","","","","","","","","","","","","",""
"RP & SE
Dept. Total
194","690","3.859","74.1","16.2","2.5","1.0","0.6","",".","0.1","4.6","",".",".","",".","0.3","0.6",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","36","3.686","44.4","50.0",".",".","2.8","",".",".",".","",".",".","",".",".","2.8",".",".","."
"Sophomore","107","3.729","61.7","30.8","3.7","2.8",".","",".","0.9",".","",".",".","",".",".",".",".",".","."
"Junior","153","3.847","77.8","16.3","3.9","1.3","0.7","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","169","3.890","82.8","12.4","2.4","1.2","1.2","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","465","3.827","73.3","20.9","3.0","1.5","0.9","",".","0.2",".","",".",".","",".",".","0.2",".",".","."
"Special","7","4.000","85.7",".",".",".",".","",".",".",".","",".",".","",".",".","14.3",".",".","."
"Graduate","218","3.946","75.2","6.9","1.4",".",".","",".",".","14.7","",".",".","",".","0.9","0.9",".",".","."
"Dept. Total","690","3.859","74.1","16.2","2.5","1.0","0.6","",".","0.1","4.6","",".",".","",".","0.3","0.6",".",".","."
