"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","204","2.752","20.1","3.9","39.7","4.4","24.0","2.9","4.9",".",".",".",".",".",".",".",".","."
"","002
300","220","2.893","24.1","5.9","36.4","5.5","22.7","4.1","1.4",".",".",".",".",".",".",".",".","."
"","010
300","149","2.804","21.5","7.4","38.3","6.0","15.4","6.0","4.7","0.7",".",".",".",".",".",".",".","."
"","011
300","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","574","2.818","22.0","5.6","38.0","5.2","21.4","4.2","3.5","0.2",".",".",".",".",".",".",".","."
"","305
001","72","2.715","8.3","13.9","34.7","9.7","29.2","2.8","1.4",".",".",".",".",".",".",".",".","."
"","002
305","68","2.560","7.4","7.4","29.4","8.8","41.2","4.4",".",".",".",".",".",".","1.5",".",".","."
"","003
305","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","141","2.650","8.5","10.6","31.9","9.2","34.8","3.5","0.7",".",".",".",".",".","0.7",".",".","."
"","399
096","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","133
399","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","148
399","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","7","3.071","42.9",".","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","001
401","34","3.409","17.6","44.1","35.3",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","420
001","32","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
420","31","3.790","67.7","29.0",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org","Course Total","63","3.738","55.6","39.7","3.2",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","001
422","24","3.771","66.7","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
422","27","3.635","63.0","22.2","3.7","3.7",".",".","3.7","3.7",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","Course Total","51","3.700","64.7","21.6","7.8","2.0",".",".","2.0","2.0",".",".",".",".",".",".",".","."
"Strategic Management","001
423","46","3.543","39.1","30.4","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","19","3.500","63.2","10.5","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","38","3.908","81.6","18.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","36","3.829","69.4","22.2","5.6",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
030","43","3.581","32.6","51.2","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","23","3.696","39.1","60.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","57","3.798","70.2","24.6","1.8","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"","002
723","60","3.800","63.3","33.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
723","42","3.917","85.7","11.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","159","3.830","71.7","24.5","2.5","0.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"","728
001","36","3.597","38.9","47.2","8.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
728","30","3.817","66.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","Course Total","66","3.697","51.5","39.4","6.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","731
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734
001","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"WAVE Practicum I","737
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","001
773","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","790
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 58 of 410"
