"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","",""
"Intro to East Asian Civ","222
001","","67","3.826","83.6","9.0",".","1.5","3.0","1.5",".","1.5",".",".",".",".",".",".",".","."
"","300
001","","25","3.540","56.0","20.0","16.0",".","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","002
300","","29","3.793","69.0","20.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","Course Total","","54","3.676","63.0","20.4","13.0",".","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Social Studies Topics in EAS","301
001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","699
020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","030
699","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","040
699","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
