"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","23","2.795",".","43.5","17.4","21.7",".","8.7","4.3","4.3",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","192","3.736","54.7","27.1","8.9","0.5","0.5",".",".","7.8",".",".",".",".",".",".",".","0.5"
"","199","007","27","3.888","88.9","7.4",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","199","020","21","3.702","71.4","19.0","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","199","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","50","3.813","80.0","14.0","2.0",".","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","17","3.588","64.7","17.6",".","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","84","3.531","31.0","48.8","11.9","3.6",".","1.2",".","3.6",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","99","2.959","26.3","18.2","15.2","18.2","13.1","7.1","1.0","1.0",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","36","3.708","63.9","19.4","13.9",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","28","3.370","39.3","28.6","14.3","7.1","3.6",".","3.6","3.6",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","29","3.192","27.6","17.2","24.1","10.3","6.9","3.4",".","10.3",".",".",".",".",".",".",".","."
"Slavery in the Amer South","467","001","19","3.444","31.6","26.3","31.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"African American Families","521","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies in the Arts","669","001","9","3.462","22.2","44.4","11.1","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"Topics in Afro-Am History","671","001","12","3.083","25.0","25.0","16.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","22","3.643","50.0","22.7","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","14","3.321","42.9","7.1","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Mod/Cntmp Art-Nigeria&Diaspora","678","001","8","2.938","12.5","37.5","37.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","15","3.533","60.0","13.3","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","790","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
