"EDU","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323
001","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324
002","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Elem School Art","470
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Secondary School Art","493
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","061
699","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Contemp Practices in Art Ed","001
900","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","999
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","68","3.846","79.4","5.9","8.8",".","1.5",".",".",".",".",".",".",".","2.9",".","1.5","."
