"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","18","3.735","61.1","22.2","5.6","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","002
101","21","3.810","81.0","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","003
101","19","3.263","36.8","31.6","10.5","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","004
101","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","22","3.705","50.0","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
101","17","3.353","17.6","47.1","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","009
101","17","3.588","41.2","47.1",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","010
101","20","3.450","25.0","50.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","012
101","19","3.763","68.4","26.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","013
101","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","183","3.621","50.8","33.3","8.2","4.9","1.6",".","0.5","0.5",".",".",".",".",".",".",".","."
"","001
102","19","3.053",".","52.6","26.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","002
102","18","3.206","16.7","16.7","50.0","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","003
102","23","3.261","17.4","30.4","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","18","3.250","11.1","50.0","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","005
102","21","3.325","14.3","42.9","33.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","008
102","17","3.125","29.4","17.6","17.6","17.6","5.9","5.9",".","5.9",".",".",".",".",".",".",".","."
"","010
102","18","3.500","27.8","27.8","16.7","5.6",".",".",".","22.2",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","134","3.240","16.4","34.3","29.9","9.7","3.0","1.5",".","5.2",".",".",".",".",".",".",".","."
"","203
001","23","3.304","47.8","8.7","30.4",".","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"","002
203","15","3.500","46.7","20.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","003
203","20","3.075","10.0","40.0","25.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","005
203","20","3.200","20.0","30.0","40.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","006
203","20","3.150","10.0","25.0","55.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","007
203","19","3.395","21.1","42.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","008
203","22","3.452","27.3","50.0","4.5","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","010
203","19","3.278","26.3","36.8","10.5","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"","012
203","17","3.469","35.3","35.3","5.9","17.6",".",".",".","5.9",".",".",".",".",".",".",".","."
"","013
203","11","3.227","18.2","18.2","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","186","3.301","26.3","31.2","27.4","5.4","6.5","1.6",".","1.6",".",".",".",".",".",".",".","."
"","204
001","24","3.521","20.8","62.5","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
204","25","3.560","40.0","36.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","004
204","20","3.325","25.0","25.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","006
204","22","3.409","22.7","40.9","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","008
204","21","3.429","23.8","47.6","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","010
204","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
204","22","3.614","45.5","36.4","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","012
204","18","3.278","22.2","27.8","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","176","3.506","34.1","38.6","21.6","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"French Interdis Studies","001
211","11","2.864","18.2","9.1","45.5","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"","227
001","24","3.667","54.2","33.3","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","002
227","24","3.396","29.2","45.8","20.8",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","004
227","23","3.609","30.4","60.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
227","25","3.620","32.0","64.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","96","3.573","36.5","51.0","9.4","1.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
