"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"","275","001","","101","3.330","25.7","34.7","29.7","5.0","2.0",".","2.0","1.0",".",".",".",".",".",".",".","."
"","275","002","","90","3.826","76.7","12.2","8.9",".","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","","191","3.563","49.7","24.1","19.9","2.6","1.6",".","1.0","1.0",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","","48","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","","73","3.870","84.9","6.8","5.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","","25","3.840","80.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470","002","","28","3.732","53.6","39.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","002","","54","3.028","9.3","24.1","38.9","18.5","9.3",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","53","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","17","3.147","29.4","41.2","17.6",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"","501","003","","23","3.674","60.9","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","501","004","","77","3.760","88.3",".","3.9","1.3","2.6","2.6","1.3",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","170","3.763","82.4","7.1","4.7","1.8","1.2","1.2","1.8",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","","29","3.862","89.7","6.9",".",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","","87","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Direct Retailing","561","001","","48","3.750","75.0","12.5","10.4",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","","18","3.961","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603","015","","8","3.667","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","","28","2.554","14.3","14.3","21.4","17.9","14.3","10.7","7.1",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657","002","","76","3.230","5.3","43.4","43.4","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","","30","2.533","10.0","13.3","26.7","20.0","13.3","10.0","6.7",".",".",".",".",".",".",".",".","."
"","699","005","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","37","3.982","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960","001","","13","3.442","23.1","38.5","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Study","999","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
