"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","13","3.974","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics I","703","001","","40","3.357","35.0","17.5","20.0","20.0",".",".",".",".",".",".",".",".",".","7.5",".","."
"Econ Stats & Econometrics I","709","001","","55","3.329","14.5","34.5","49.1",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"","711","001","","27","3.148","11.1","22.2","55.6","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","711","002","","26","3.192","19.2","23.1","42.3","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","53","3.170","15.1","22.6","49.1","7.5","5.7",".",".",".",".",".",".",".",".",".",".","."
"","712","001","","22","3.295","31.8","13.6","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","712","002","","11","3.091","9.1","36.4","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","33","3.227","24.2","21.2","39.4","6.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","715","001","","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 3","719","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","","8","3.917","62.5","12.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","9","3.286",".","44.4","33.3",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","","9","3.786","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Dev-Thy Stat & Policy","878","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Economic Development","879","001","","15","3.430","33.3","20.0","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Econ Policy","880","001","","22","3.633","40.9","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","13.6"
"Wrkshp in Math Econ Theory","901","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
