"HEBREW (HEBREW AND SEMITI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","24","3.848","66.7","29.2",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","101","002","","26","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","003","","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","004","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","","Course Total","","103","3.897","80.6","16.5","1.9",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","103","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","001","","15","3.733","73.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201","002","","21","3.714","61.9","28.6","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","","Course Total","","36","3.722","66.7","22.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211","001","","27","3.596","48.1","25.9","14.8","7.4",".",".",".",".",".",".",".",".",".",".","3.7","."
"Intro to Biblical Lit","217","001","","21","3.275","42.9","19.0","9.5","4.8","14.3","4.8",".",".","4.8",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","7","2.857","28.6","14.3","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301","001","","18","3.765","50.0","44.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","323","001","","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328","001","","9","3.333","44.4",".","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Bible in the Middle Ages","368","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","371","001","","8","3.286","25.0","12.5","37.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401","001","","17","3.471","52.9","23.5","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533","001","","20","3.895","80.0","10.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Canaanite Dialects","604","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Isaiah","651","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Seminar-Pentateuchal Criticism","953","001","","10","2.650",".","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
