"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","159","3.019","22.0","17.6","31.4","11.3","11.9","3.8","1.3","0.6",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","218","3.219","27.5","22.0","20.6","25.2","4.1",".",".","0.5",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","28","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","30","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","33","3.924","84.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","29","3.638","65.5","13.8","13.8","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"516","001","","30","3.700","66.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"516","002","","28","3.714","57.1","32.1","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","Course Total","","58","3.707","62.1","25.9","6.9","1.7","3.4",".",".",".",".",".",".",".",".",".",".","."
"517
Couple Relationships","001","","31","3.758","61.3","29.0","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
African American Families","001","","35","3.414","68.6","11.4","2.9","2.9","5.7",".","8.6",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","30","3.283","20.0","30.0","40.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"601","002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","011","","6","3.737","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","Course Total","","18","3.882","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Parent Educ & Support Programs","001","","28","3.722","57.1","28.6","7.1","3.6",".",".",".",".",".",".",".",".","3.6",".",".","."
"662
Adv Study of Young Child","001","","29","3.483","44.8","20.7","24.1","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","22","3.614","68.2","18.2",".","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"664
Prosmr:Human Dev & Fam Studies","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","14","3.634","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.550","82.6","8.7",".",".",".",".","8.7",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Infancy and the Family","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"773
Analytc Approaches-Qual Resrch","001","","14","3.714","71.4","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"842
Parnt-Chld Across Life Crse","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Prevention Science","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 141 of 410",""
