"","033
990","5","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","036
990","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","038
990","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","39","",".",".",".",".",".",".",".","94.9","",".",".",".","2.6","",".",".","2.6","."
"HORT
476","Dept. Total","329","3.292","33.4","20.4","19.5","5.5","4.9","3.0","1.2","11.6","",".",".",".","0.3","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","2.942",".","50.0","7.1","21.4","21.4",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","39","3.246","20.5","33.3","25.6","15.4","5.1",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","67","3.413","44.8","22.4","22.4","1.5","3.0","3.0","3.0",".","",".",".",".",".","",".",".",".","."
"Senior","","134","3.253","41.8","17.2","23.1","5.2","6.7","4.5","1.5",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","254","3.276","37.0","22.8","22.4","6.7","6.3","3.1","1.6",".","",".",".",".",".","",".",".",".","."
"Special","","6","2.500","33.3","16.7",".",".",".","33.3",".","16.7","",".",".",".",".","",".",".",".","."
"Graduate","","69","3.547","20.3","11.6","10.1","1.4",".",".",".","53.6","",".",".",".","1.4","",".",".","1.4","."
"","Dept. Total","329","3.292","33.4","20.4","19.5","5.5","4.9","3.0","1.2","11.6","",".",".",".","0.3","",".",".","0.3","."
