"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Iss & Serv Learng","350
001","","15","3.467","53.3","13.3","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","375
001","","11","3.636","81.8",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","002
375","","13","3.692","84.6",".",".",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","24","3.667","83.3",".","4.2",".","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prgm Planning-Fam&Consmr Ed","428
001","","21","3.881","85.7","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach-Fam & Consumer Educ","430
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
501","","14","3.730","64.3","14.3","7.1",".","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"Special Topics","Course Total","","21","3.725","61.9","19.0","9.5",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Foundations of Educ for Work","660
001","","9","3.654","77.8",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","036
699","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
