"","765
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","002
765","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","004
765","","6","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Contemporary Topics","Course Total","","8","3.938","87.5","12.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"INFO SYS
234","Dept. Total","","79","3.724","62.0","22.8","11.4","1.3","1.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.3"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","2.500",".",".",".","100.0",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","4","3.833","50.0","25.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","25.0"
"Junior","","","18","3.583","44.4","38.9","11.1",".","5.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","37","3.770","67.6","18.9","13.5",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","60","3.695","58.3","25.0","11.7","1.7","1.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.7"
"Special","","","2","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","17","3.853","82.4","5.9","11.8",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","79","3.724","62.0","22.8","11.4","1.3","1.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.3"
